Target,Competitor,Unrelated,Unrelated
lock,key,deer,apple
bat,racket,stove,pear
battery,plug,ghost,map
car,bike,money,scale
grapes,wine,cane,bell
mitten,glove,seahorse,bucket
muffin,donut,camel,lighthouse
piano,trumpet,belt,lamp
pie,ice cream,chest,dice
sock,shoe,peach,beer
tape,glue,penny,celery
teepee,igloo,hanger,paperclip
candle,lightbulb,suitcase,headphones
cat,mouse,bed,pump
hammer,nail,monkey,couch
matches,lighter,sandwich,bonnet
pants,shirt,cake,tire
robe,slippers,olives,canoe
saw,axe,pig,vest
scissors,knife,ashtray,coat
telescope,binoculars,squirrel,pumpkin
tie,jacket,paint,cow
wallet,purse,lobster,drum
window,door,football,gun
